Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
   164;   52.40; 53.0168; 14.0118;18990415;19080516;Angermünde
   164;   45.00; 53.0168; 14.0118;19080517;19380812;Angermünde
   164;   55.00; 53.0168; 14.0118;19380813;19450228;Angermünde
   164;   45.00; 53.0168; 14.0118;19450301;19460531;Angermünde
   164;   45.00; 53.0132; 14.0004;19460601;19471231;Angermünde
   164;   45.00; 53.0132; 14.0004;19480101;19481031;Angermünde
   164;   48.00; 53.0143; 13.9938;19481101;19500331;Angermünde
   164;   48.00; 53.0143; 13.9938;19500401;19790110;Angermünde
   164;   56.00; 53.0316; 13.9907;19790111;20161101;Angermünde
   164;   53.90; 53.0316; 13.9908;20161102;        ;Angermünde
