Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
5480;Werl;RF_TU;15.08.2004-11:00;15.08.2004-12:00;2;;eor;                                                                                                                                               
5480;Werl;RF_TU;17.08.2004-11:00;17.08.2004-13:00;3;;eor;                                                                                                                                               
5480;Werl;RF_TU;18.08.2004-11:00;18.08.2004-11:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;18.08.2004-22:00;18.08.2004-23:00;2;;eor;                                                                                                                                               
5480;Werl;RF_TU;19.08.2004-15:00;19.08.2004-16:00;2;;eor;                                                                                                                                               
5480;Werl;RF_TU;20.08.2004-20:00;20.08.2004-21:00;2;;eor;                                                                                                                                               
5480;Werl;RF_TU;22.08.2004-10:00;22.08.2004-11:00;2;;eor;                                                                                                                                               
5480;Werl;RF_TU;22.08.2004-19:00;22.08.2004-20:00;2;;eor;                                                                                                                                               
5480;Werl;RF_TU;23.08.2004-11:00;23.08.2004-12:00;2;;eor;                                                                                                                                               
5480;Werl;RF_TU;03.09.2004-10:00;03.09.2004-12:00;3;;eor;                                                                                                                                               
5480;Werl;RF_TU;06.09.2004-09:00;06.09.2004-12:00;4;;eor;                                                                                                                                               
5480;Werl;RF_TU;22.09.2004-03:00;22.09.2004-09:00;7;;eor;                                                                                                                                               
5480;Werl;RF_TU;22.09.2004-15:00;23.09.2004-08:00;18;;eor;                                                                                                                                              
5480;Werl;RF_TU;23.09.2004-11:00;24.09.2004-09:00;23;;eor;                                                                                                                                              
5480;Werl;RF_TU;24.09.2004-21:00;27.09.2004-11:00;63;;eor;                                                                                                                                              
5480;Werl;RF_TU;27.09.2004-13:00;27.09.2004-17:00;5;;eor;                                                                                                                                               
5480;Werl;RF_TU;27.09.2004-19:00;27.09.2004-23:00;5;;eor;                                                                                                                                               
5480;Werl;RF_TU;28.09.2004-01:00;28.09.2004-05:00;5;;eor;                                                                                                                                               
5480;Werl;RF_TU;28.09.2004-07:00;28.09.2004-09:00;3;;eor;                                                                                                                                               
5480;Werl;RF_TU;28.09.2004-14:00;28.09.2004-17:00;4;;eor;                                                                                                                                               
5480;Werl;RF_TU;28.09.2004-19:00;28.09.2004-23:00;5;;eor;                                                                                                                                               
5480;Werl;RF_TU;29.09.2004-01:00;29.09.2004-05:00;5;;eor;                                                                                                                                               
5480;Werl;RF_TU;29.09.2004-07:00;29.09.2004-07:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;09.10.2004-11:00;09.10.2004-14:00;4;;eor;                                                                                                                                               
5480;Werl;RF_TU;14.10.2004-10:00;14.10.2004-10:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;26.12.2004-14:00;26.12.2004-15:00;2;;eor;                                                                                                                                               
5480;Werl;RF_TU;12.02.2005-17:00;12.02.2005-18:00;2;;eor;                                                                                                                                               
5480;Werl;RF_TU;05.03.2005-13:00;05.03.2005-13:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;08.03.2005-15:00;08.03.2005-15:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;08.03.2005-21:00;08.03.2005-21:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;09.03.2005-03:00;09.03.2005-03:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;09.03.2005-09:00;09.03.2005-09:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;09.03.2005-15:00;09.03.2005-15:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;09.03.2005-21:00;09.03.2005-21:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;11.03.2005-09:00;11.03.2005-09:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;15.03.2005-11:00;15.03.2005-11:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;04.04.2005-09:00;04.04.2005-15:00;7;;eor;                                                                                                                                               
5480;Werl;RF_TU;06.04.2005-09:00;06.04.2005-10:00;2;;eor;                                                                                                                                               
5480;Werl;RF_TU;11.04.2005-12:00;11.04.2005-12:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;14.04.2005-09:00;14.04.2005-10:00;2;;eor;                                                                                                                                               
5480;Werl;RF_TU;15.04.2005-00:00;15.04.2005-01:00;2;;eor;                                                                                                                                               
5480;Werl;RF_TU;15.04.2005-08:00;15.04.2005-09:00;2;;eor;                                                                                                                                               
5480;Werl;RF_TU;16.04.2005-13:00;16.04.2005-16:00;4;;eor;                                                                                                                                               
5480;Werl;RF_TU;16.04.2005-23:00;17.04.2005-00:00;2;;eor;                                                                                                                                               
5480;Werl;RF_TU;20.04.2005-17:00;20.04.2005-18:00;2;;eor;                                                                                                                                               
5480;Werl;RF_TU;21.04.2005-13:00;21.04.2005-17:00;5;;eor;                                                                                                                                               
5480;Werl;RF_TU;30.05.2005-09:00;30.05.2005-09:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;08.06.2005-09:00;08.06.2005-11:00;3;;eor;                                                                                                                                               
5480;Werl;RF_TU;16.06.2005-12:00;16.06.2005-12:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;07.07.2005-10:00;07.07.2005-18:00;9;;eor;                                                                                                                                               
5480;Werl;RF_TU;23.08.2005-17:00;23.08.2005-17:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;31.08.2005-09:00;31.08.2005-10:00;2;;eor;                                                                                                                                               
5480;Werl;RF_TU;20.10.2005-14:00;20.10.2005-15:00;2;;eor;                                                                                                                                               
5480;Werl;RF_TU;20.10.2005-17:00;20.10.2005-17:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;30.10.2005-04:00;30.10.2005-04:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;10.11.2005-03:00;10.11.2005-07:00;5;;eor;                                                                                                                                               
5480;Werl;RF_TU;14.12.2005-11:00;14.12.2005-11:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;18.01.2006-10:00;18.01.2006-10:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;05.04.2006-10:00;05.04.2006-10:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;05.07.2006-16:00;06.07.2006-05:00;14;;eor;                                                                                                                                              
5480;Werl;RF_TU;06.07.2006-07:00;06.07.2006-07:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;26.07.2006-20:00;27.07.2006-05:00;10;;eor;                                                                                                                                              
5480;Werl;RF_TU;27.07.2006-07:00;27.07.2006-08:00;2;;eor;                                                                                                                                               
5480;Werl;RF_TU;28.08.2006-12:00;29.08.2006-05:00;18;;eor;                                                                                                                                              
5480;Werl;RF_TU;29.08.2006-07:00;30.08.2006-05:00;23;;eor;                                                                                                                                              
5480;Werl;RF_TU;30.08.2006-07:00;30.08.2006-10:00;4;;eor;                                                                                                                                               
5480;Werl;RF_TU;01.11.2006-12:00;01.11.2006-12:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;05.12.2006-16:00;05.12.2006-16:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;05.12.2006-18:00;05.12.2006-18:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;19.12.2006-12:00;19.12.2006-12:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;26.02.2007-11:00;26.02.2007-11:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;26.05.2007-22:00;27.05.2007-05:00;8;;eor;                                                                                                                                               
5480;Werl;RF_TU;27.02.2008-10:00;27.02.2008-10:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;26.06.2008-13:00;26.06.2008-13:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;16.07.2008-03:00;16.07.2008-03:00;1;;eor;                                                                                                                                               
5480;Werl;RF_TU;21.12.2010-14:00;23.12.2010-06:00;41;;eor;                                                                                                                                              
5480;Werl;RF_TU;26.05.2011-11:00;27.05.2011-07:00;21;;eor;                                                                                                                                              
5480;Werl;RF_TU;30.05.2011-15:00;31.05.2011-06:00;16;;eor;                                                                                                                                              
5480;Werl;RF_TU;18.08.2011-19:00;19.08.2011-07:00;13;;eor;                                                                                                                                              
5480;Werl;RF_TU;28.10.2011-18:00;31.10.2011-09:00;64;;eor;                                                                                                                                              
5480;Werl;RF_TU;06.05.2012-22:00;07.05.2012-07:00;10;;eor;                                                                                                                                              
5480;Werl;RF_TU;27.05.2012-17:00;29.05.2012-06:00;38;;eor;                                                                                                                                              
5480;Werl;RF_TU;27.10.2012-08:00;30.10.2012-12:00;77;;eor;                                                                                                                                              
5480;Werl;RF_TU;14.12.2012-01:00;19.12.2012-13:00;133;;eor;                                                                                                                                             
5480;Werl;RF_TU;09.06.2014-03:00;10.06.2014-07:00;29;;eor;                                                                                                                                              
5480;Werl;RF_TU;03.09.2014-13:00;04.09.2014-08:00;20;;eor;                                                                                                                                              
5480;Werl;RF_TU;16.10.2014-10:00;17.10.2014-07:00;22;;eor;                                                                                                                                              
5480;Werl;RF_TU;05.07.2015-11:00;06.07.2015-10:00;24;;eor;                                                                                                                                              
5480;Werl;RF_TU;15.06.2017-18:00;16.06.2017-07:00;14;;eor;                                                                                                                                              
generiert: 07.03.2019 --  Deutscher Wetterdienst  --                                                                                                                                                    
